id,name,email,phone,credit_card,products,total_spent
51,Holly Stuart,dennis73@example.net,(857)647-2745x5966,4363482829888752,"['Huge Oil', 'General Oil', 'Critical Mail', 'Male Politics', 'Alone Campaign']",265
52,Jesus Santos,clarkejames@example.com,710.639.1403x292,676300924369,"['Educational Bed', 'Glad Mail', 'Nice Number', 'Bright Shelter', 'Eastern Outcome']",842
53,Mr. Henry Perkins DDS,tatealexis@example.net,853-563-5227x299,501869028164,"['Known Psychology', 'Deep Respect', 'Representative Resort', 'Large Pot', 'General Respect']",317
54,Thomas Howe,jennifermorgan@example.org,847-979-5417x21848,6011962191274161,"['Sharp Image', 'Sharp Expert', 'Spiritual Game', 'Consistent Credit', 'Proud Wall']",268
55,Brian Kelly,smithcathy@example.org,566-270-5216,4009628466804,"['Individual Soil', 'Massive Examination', 'Massive Wave', 'Fresh Warning', 'Helpful Instruction']",760
56,Sherry Thomas,dawnchapman@example.org,297-344-4360,676342282156,"['Female Relief', 'Informal Sea', 'Various Area', 'Wild Wave', 'Dark Instruction']",6
57,Erica Thomas,millerjamie@example.com,877-388-1157x66878,4685212206910,"['Nearby Protection', 'Equivalent Trick', 'Frequent Power', 'Sufficient Protection', 'Large Currency']",680
58,Derek Turner,umorales@example.net,+1-397-985-3806x55803,2286938088109501,"['Any Currency', 'Additional Relief', 'Representative Relief', 'Individual Afternoon', 'Individual River']",965
59,Glen Tucker,psmith@example.org,+1-275-920-7826x4973,3597595692866355,"['Boring Application', 'Few Entrance', 'Efficient Resort', 'Wild Subject', 'Smart Attention']",390
60,Daniel Estes,sheri39@example.com,+1-925-532-4828x917,3595931873464839,"['Valuable Chain', 'Straight Dog', 'Valuable Muscle', 'Solid Border', 'Typical Protection']",362
61,Emily Smith,suemunoz@example.org,+1-871-248-4765,5252498748675311,"['Such Relief', 'Old Mother', 'Wonderful Advertising', 'Correct Plane', 'Even Advertising']",743
62,William Fuller,bondbrandi@example.com,001-591-693-0014x1962,4293223474294312629,"['Large Rope', 'Worth Rope', 'Calm Grandfather', 'Sexual Control', 'Lower Imagination']",203
63,Alicia Medina,wgregory@example.net,419-449-3023x906,30085327573437,"['Healthy Performance', 'Even Cigarette', 'Main Departure', 'Main Wall', 'Numerous Harm']",102
64,Dillon Ryan,jeffery86@example.org,(861)691-8272,3521475680566823,"['Other Area', 'Flat Resource', 'Nice Group', 'Due Extent', 'Due Grandfather']",790
65,Kimberly Hernandez,torresscott@example.net,(537)536-1186x18720,4966183833712,"['Environmental Activity', 'Official Area', 'Lucky Actor', 'Decent Steak', 'Lucky Pain']",196
66,Ariana Anderson,andreameyer@example.net,(596)247-9055x30373,4771944654191756,"['Content Knowledge', 'Internal Relief', 'Young Clothes', 'Straight Group', 'Sad Afternoon']",627
67,Anita Callahan,pdorsey@example.org,542.685.2185x5153,180066027142838,"['Late Union', 'Late Value', 'Good Chart', 'Emotional Session', 'Free Father']",850
68,Hannah Richards,nbaker@example.org,(327)786-2047,4173800917494862,"['Separate Instruction', 'Other Extent', 'Alive Frame', 'Pretty Magazine', 'Informal Magazine']",166
69,Bryan Carson,stephaniesantos@example.net,403.329.2299,2251497949601272,"['Fine Wealth', 'Thick Wealth', 'Solid Psychology', 'White Menu', 'Angry Cause']",60
70,David Russell,terrelldenise@example.org,001-419-723-8375x04698,3534174344152709,"['Wrong Salt', 'Open Nerve', 'Young Day', 'Straight Day', 'Open Situation']",395
71,Jillian Welch,william67@example.net,001-583-920-4164,30486297420353,"['Embarrassed Pot', 'Funny Speech', 'Remarkable Reception', 'Wise Organization', 'Old Step']",267
72,Shannon Rodriguez,grahammarcus@example.net,456.721.3577,6565911872108677,"['Content Relief', 'Boring Skirt', 'Such Combination', 'Sure Clothes', 'Such Clothes']",243
73,Nathan Henderson,carolyn44@example.net,985-502-0155,4974827601016,"['Actual Word', 'Large Politics', 'Easy Contact', 'Low Number', 'Low Number']",337
74,Emily Wilson,pamela18@example.net,203-812-7227x4279,502014163468,"['Dependent Concept', 'Any Joke', 'Huge Joke', 'Quiet Chart', 'Alone Concept']",235
75,Kristopher Castro,jacob09@example.com,+1-434-558-5774x542,30505794301780,"['National Outside', 'Decent Meeting', 'Decent While', 'Fair Bit', 'Ill Control']",838
76,Christina Price,andrea07@example.com,875.603.9317x218,4608750394674,"['Extra Winner', 'Illegal Bit', 'Nice Funeral', 'Least Field', 'Anxious Funeral']",720
77,Diane Haas,reeddawn@example.com,+1-834-676-8064x7266,30546925067742,"['Dangerous Imagination', 'Pregnant Breast', 'Male Meeting', 'Relevant Field', 'Active Meeting']",67
78,Wanda Hall,webereric@example.com,812-890-3208,4674802721174445,"['Sufficient Value', 'Other Measurement', 'Main Software', 'Hard Advertising', 'Other Value']",400
79,Robert Rivera,wjones@example.net,001-343-774-8361x600,574000902928,"['Ill Frame', 'Illegal Tank', 'White Clothes', 'Left Hearing', 'Angry Feeling']",481
80,Lauren Smith,laurajones@example.org,+1-313-417-6117x782,378218083165854,"['Correct Collection', 'Lower World', 'Correct Examination', 'Large Assignment', 'Embarrassed Currency']",575
81,Kimberly Stout,ashleedavis@example.net,(454)358-5000x2432,38244202553186,"['Old Performance', 'Simple Fortune', 'Official Son', 'Slight Excitement', 'Slight Area']",812
82,Mark Flores DDS,michaelross@example.org,468-650-5360x684,060441560434,"['Old Heart', 'Numerous Cause', 'Fair Frame', 'Foreign Heart', 'Foreign Rope']",671
83,Tara Valencia DDS,mike81@example.org,439.799.1640x4009,4398308378799554,"['Particular Demand', 'Other Snow', 'Correct World', 'Own Protection', 'Fair Skirt']",373
84,Ricky Barnes,timothysantana@example.net,+1-569-603-9766x22667,2221421242648654,"['Poor Share', 'Temporary Shelter', 'Negative Mail', 'Short Board', 'Eastern Village']",551
85,Katherine Wilson,jonathan46@example.net,607.288.3646x00681,675968587872,"['Loud Campaign', 'Past Pot', 'External Possession', 'Old Weakness', 'Simple Activity']",569
86,Michele Wells,lindafischer@example.net,(734)961-3129x727,3574758305846894,"['Frequent Phone', 'Smart Software', 'Bright Phone', 'Good Joke', 'Able Capital']",98
87,Carlos Taylor,peckjames@example.org,671.798.0279x2941,4505119144952074,"['Automatic Mess', 'Cute Pride', 'Solid Power', 'Old Combination', 'Content River']",414
88,Daniel Butler,sherry67@example.com,(763)763-4127,4532725372189975217,"['Private Distance', 'Consistent Summer', 'Internal Performance', 'Anxious Chocolate', 'Spiritual Actor']",676
89,Dominic Kelly,rodriguezmarc@example.com,650-334-2282x7318,630416772204,"['Thin Difference', 'Temporary Peace', 'Dark Peace', 'Commercial Country', 'Alive Afternoon']",943
90,Mark Conley,campbellbarbara@example.org,846.628.7452,4138571586470251,"['Wise Mission', 'Straight Pie', 'Worth Performance', 'Western Relief', 'Objective Word']",179
91,Dr. Austin Moon MD,wardjeffrey@example.com,(933)698-5759,4992438814721078889,"['Large Appeal', 'Young Image', 'Large Phone', 'National Value', 'Suitable Baseball']",627
92,Nancy Bennett,ystewart@example.com,357.228.0720,4054310325689560,"['Low Joke', 'Angry Manner', 'Lucky Bus', 'Historical King', 'Official Tourist']",214
93,Andrew Doyle,blackwelljoann@example.com,(731)892-5447,30548478565643,"['Sad Extent', 'Direct Imagination', 'Large Click', 'Internal Consequence', 'Best Area']",950
94,Cindy Blankenship,zmullins@example.com,001-422-973-2931x4882,2536210801192299,"['Even Difference', 'Free Wall', 'Decent Candidate', 'Successful Game', 'Illegal Appeal']",214
95,Holly Davis,kmartinez@example.net,493.899.7941,2232244527581169,"['Deep Reception', 'Funny Word', 'Emotional Mother', 'Equivalent Unit', 'Western Membership']",11
96,Greg Wilkerson,sara91@example.com,779-474-3605,2704709228957164,"['Able Difference', 'Nice Game', 'Flat Image', 'Bright Class', 'Extra Plane']",838
97,Julie Johnson,lambstanley@example.org,(745)449-2770,6011429216878269,"['Thick Study', 'Aware Game', 'Slight Feeling', 'External Bus', 'Fresh Credit']",841
98,Brandi Fitzpatrick,tonya21@example.org,713.673.0654,30047637089652,"['Best District', 'Best Basis', 'Sorry Pie', 'Ill Setting', 'Best Hall']",219
99,Kristine Carter,gregorymoran@example.org,256-324-4926,4611938135789125,"['Left Field', 'Young Winner', 'Sad Grandfather', 'Ill Pride', 'Suitable Tip']",829
100,Pamela Chapman,sawyersamuel@example.com,480.971.0093,4849912580954835,"['Direct Moment', 'Enough Relief', 'Sorry Camera', 'Brown Moment', 'Lucky Joke']",594
101,Kenneth Gomez,sydney51@example.com,001-525-800-9606,3540297810012669,"['Glad Weakness', 'Equivalent Cigarette', 'Upstairs Mission', 'Few Cigarette', 'Content Coach']",612
102,Daniel Kelley,glennralph@example.com,(560)256-8385,6580357293303144,"['Large Moment', 'Enough Area', 'Enough Rock', 'Sorry Advertising', 'Suitable Session']",775
103,Nicholas Bauer,barbaraperry@example.org,(719)272-6366x2879,4386739181224055,"['Weird Tank', 'Obvious Map', 'Better Assignment', 'Educational Demand', 'Active Border']",116
104,Victor Forbes,amyscott@example.com,(508)637-9460,4147540415432,"['Emotional Credit', 'Helpful Peace', 'Familiar Art', 'Ok Image', 'Brown Girlfriend']",938
105,David Rivas,ginamartinez@example.com,+1-325-360-8086x14384,180085221442745,"['Ordinary Distance', 'Additional Mother', 'Obvious Rock', 'Relevant Mother', 'Long Camera']",253
106,Sarah Ryan,chrisowen@example.com,(645)912-7582x17675,4061792116341694,"['Able Priority', 'Local Fault', 'Independent Situation', 'Dangerous Reception', 'Able Reception']",985
107,Joshua Johnson,powelljudy@example.net,(533)821-1892x457,4520521859318170,"['Emotional Expert', 'Representative Value', 'Worth Session', 'Frequent Union', 'Wonderful District']",535
108,Tammy Snyder,nicole13@example.org,+1-364-985-3954x1720,3554705535556300,"['Independent Value', 'Sorry Significance', 'Direct Relief', 'Round Moment', 'Sufficient Weakness']",403
109,Lauren Parker,gardnernicole@example.com,7625120843,3536540174632705,"['Severe Wall', 'Glad Association', 'Significant Oil', 'Huge Time', 'Sharp Harm']",161
110,Carol Esparza,daviskatrina@example.net,937.244.9585,4331210981994,"['Massive Application', 'Official Step', 'Past Salt', 'Left Pin', 'Suitable Pin']",444
111,Jerry Smith,jacqueline32@example.net,684-369-8079x9364,378477194516500,"['Critical Game', 'Any Gap', 'Negative Gap', 'Consistent Literature', 'Individual Concept']",828
112,Vincent Espinoza,grantashley@example.net,5006471807,180043697745091,"['Aware Rope', 'Aware Cause', 'Significant West', 'Glad Menu', 'Unfair Grandfather']",794
113,Lindsay Phillips,heather26@example.com,354-493-2877x471,213145550652479,"['Long Candidate', 'Active Dinner', 'Lower Advertising', 'Current Wall', 'Ugly Class']",45
114,Elizabeth Middleton,charles50@example.com,+1-525-394-4707x235,4676905007432714,"['Sure Step', 'Few Muscle', 'Frequent Respect', 'Emotional Passage', 'Old Tax']",712
115,Jennifer Brown,tayloralex@example.com,994.215.7954x53083,4508318308523971,"['Quiet Consequence', 'Numerous Extent', 'Sexual Heart', 'Sexual Address', 'Both Heart']",553
116,Christopher Baker Jr.,melinda54@example.org,(400)312-9592x0082,4826605459039053,"['Poor Border', 'Frequent Pride', 'Sure Combination', 'Sure South', 'Representative Seat']",793
117,Gloria Downs,michael63@example.com,001-342-738-2928,3592547472665155,"['Temporary Attention', 'Able Pride', 'Able Politics', 'Numerous Rope', 'Local Breast']",153
118,Richard Rogers,brooksnathaniel@example.net,(226)733-2979x693,4769106493609364,"['Numerous Spray', 'Boring Resource', 'Quiet World', 'Sexual Relief', 'Pregnant Rice']",629
119,Sarah Snyder,zmcgrath@example.org,622-251-8972x9632,30575834907243,"['Automatic Tourist', 'Funny Stroke', 'External Session', 'Thick Session', 'Environmental Value']",211
120,Scott Hanson,reneewalker@example.net,(424)298-3269x7579,3565424746937328,"['Major Copy', 'Worth Subject', 'Straight Respect', 'Worth King', 'Emotional Pin']",508
121,Joy Doyle,sharris@example.net,(414)242-2342x25399,5549442049516454,"['Major Pie', 'Rich Coach', 'Sharp Word', 'Worth Significance', 'Frequent Manner']",730
122,Kelly Green,yusharon@example.org,8568975931,4948520026505580,"['Consistent Day', 'Western Word', 'Frequent Day', 'Smart Salt', 'Alive Salt']",606
123,Sandra Morton,tryan@example.org,298-333-5862,676353691634,"['Angry Credit', 'Formal Phone', 'Tiny Value', 'Tiny Wall', 'Aware Credit']",346
124,Timothy Fischer,joshuaglass@example.net,(836)563-3084,213195548379396,"['Particular Outcome', 'Illegal Day', 'Fresh Neck', 'Fine Neck', 'Fresh Neck']",52
125,Mary Baker,caseycory@example.com,894-913-4911,4323209077883634,"['Free Shelter', 'Easy Shelter', 'Young Wall', 'Round Priority', 'False Day']",222
126,Anne Thompson,curtis73@example.net,847.437.2939x6564,4139594047363492,"['Efficient Estate', 'Pretty Fat', 'Less Rope', 'Emotional Meeting', 'Conscious Sign']",322
127,Robert Simmons,armstrongcolleen@example.org,001-600-269-4750x8616,340519081980391,"['Unfair Association', 'Low Psychology', 'Official Nerve', 'Cute Application', 'Late Resort']",594
128,Douglas Rodriguez,royangela@example.org,994.363.0887x1326,4126764938089,"['Fair Mission', 'Helpful Fuel', 'Calm Relief', 'Dangerous Performance', 'Dangerous Setting']",714
129,Brittney Snyder,brandonparker@example.net,679.565.8314x8835,180044655314433,"['Environmental Step', 'Official Day', 'Sorry Respect', 'Ago Review', 'Other Incident']",104
130,Tommy Martin,robertmarshall@example.org,685-661-9771x218,630463092068,"['Helpful West', 'Dangerous Frame', 'Spiritual Estate', 'Illegal While', 'Dark Association']",435
131,Jeffery Griffith,adamsthomas@example.net,001-701-802-9832,4731429332007441,"['Wide Mother', 'True Application', 'Main Area', 'Main Application', 'Fair Setting']",745
132,Jane Aguirre,benjaminvaldez@example.org,965.415.0783x46067,4881838654399,"['Extra Bug', 'Private Department', 'Good Steak', 'Dangerous Mail', 'Major Bedroom']",60
133,Michael Ramirez,eatonsusan@example.net,001-421-270-7546,3526349890030950,"['Tiny Hearing', 'Tiny Peace', 'Emotional Group', 'Informal Mess', 'Any Mess']",831
134,Robert Hardy,joshua55@example.org,578-611-2256,3554808161967112,"['Solid Trouble', 'White Moment', 'Severe Mission', 'Official Actor', 'Aware Pain']",739
135,Mark Reyes,rickyhoffman@example.org,(264)542-1978x593,36288034834084,"['Private Fortune', 'Even Mission', 'Helpful Summer', 'Dangerous Moment', 'Successful Performance']",375
136,Diane Anderson,colleenwall@example.com,800-766-8021x5634,3515306645383996,"['Sharp Neck', 'Emotional Bed', 'Equivalent Bedroom', 'Proud Term', 'Aware Fault']",581
137,John Wright,ethan27@example.org,6136666029,4934761951753995,"['White Chain', 'Dependent Spray', 'Long Chain', 'Active Dog', 'Even Heart']",45
138,Heather Murray,kyleyang@example.org,996-437-3786,4871652199579372,"['Familiar Magazine', 'Decent Moment', 'Internal Joke', 'Suitable Coach', 'Even Joke']",693
139,Amber Wright,amanda69@example.org,+1-871-974-7857x9143,372751493928418,"['Current Task', 'Any Peace', 'Active Hearing', 'Educational Literature', 'Huge Plane']",181
140,Shelia Silva,edrake@example.com,(506)854-6000,4067931402790107,"['Good Collection', 'Double Collection', 'Still Warning', 'Helpful Collection', 'Good Pride']",257
141,Jessica Fritz,patriciarobinson@example.net,280.207.7521,676336407413,"['Correct Snow', 'Wise Customer', 'Content Chain', 'Specific League', 'Old Wave']",568
142,Jacob Flores,melaniegregory@example.net,388.348.3225,4684821561206809498,"['Pregnant Resort', 'Pregnant Application', 'Pregnant Recording', 'Correct Funeral', 'General Control']",1000
143,Emily Goodwin,pinedaandrew@example.com,614-647-0163,3528155450164545,"['Possible Cause', 'Western Birth', 'Female Demand', 'Short Assignment', 'Commercial Tank']",888
144,Brenda Rogers,charlesreed@example.net,822-293-8148,4379937817359555,"['Particular Schedule', 'Actual Group', 'Large Event', 'Long Tank', 'Huge Afternoon']",735
145,Sandra Montgomery,liroger@example.net,001-515-566-5325x6684,2293230561198909,"['Environmental Award', 'Massive Height', 'Unfair Dog', 'Lucky Heart', 'Severe Menu']",373
146,Hunter Perry,sarah45@example.com,001-727-727-2685x5102,4145901789307714,"['Funny Entrance', 'Funny Salt', 'Pretty While', 'Any Funeral', 'Objective Salt']",243
147,Daniel Holland,michaelsmith@example.net,905-990-5261x682,180005017703803,"['Sharp Politics', 'Formal Safety', 'Particular Application', 'Deep Application', 'Old Engineering']",690
148,James Ortiz,tandrews@example.net,(208)209-3292x7273,180076475998128,"['Late Rice', 'Anxious South', 'Emotional Tip', 'National Skirt', 'Double Girlfriend']",589
149,Michelle Williams,rbeard@example.com,200.556.7399,3532488269146310,"['Helpful Frame', 'Major Award', 'Local Height', 'Successful Blue', 'Anxious Spray']",631
150,Samantha Hernandez,fstokes@example.org,565-356-5640x375,346639636510347,"['Suitable Peak', 'External Peak', 'Fine King', 'Easy Peak', 'Low Day']",76
151,Timothy Harris,barbaraschroeder@example.com,+1-654-923-8702x7910,3538825422564570,"['Current Control', 'Individual Funeral', 'Fresh Entrance', 'Commercial Respect', 'Dependent Tax']",493
152,Cassandra Gibson,kathy67@example.org,875-705-7571x18449,4157680685050975,"['Rich Image', 'Specific Session', 'Numerous Joke', 'Remarkable Image', 'Foreign Stroke']",967
153,Jessica Cohen,costazachary@example.net,298.631.8618,370728909996470,"['Extra Snow', 'Major Customer', 'Successful Demand', 'Numerous Area', 'Ok Assignment']",278
154,Kim Craig,fernando37@example.net,834.553.9521,4627491143000,"['Old Difference', 'Spiritual Anxiety', 'Old Difference', 'Tiny Capital', 'Proud Hall']",357
155,Jerry Collins,rhill@example.net,(889)715-6518x297,4212140385685189709,"['Dangerous Relief', 'Old Mess', 'Scared Combination', 'Formal Frame', 'General Black']",792
156,Robert Smith,jlawrence@example.org,415-668-4377,180051055728401,"['Whole Pot', 'Smooth Engineering', 'Sure Pie', 'Tiny Bug', 'Loud Application']",64
157,Catherine Serrano,dana22@example.net,738-827-0185,341679981999740,"['Other Tip', 'Even King', 'Any Passage', 'Aware Classroom', 'Sexual Passage']",31
158,John Hopkins,michelle19@example.com,7922425736,379737699566733,"['Suitable Joke', 'Familiar Gap', 'Enough Literature', 'Consistent Literature', 'Late Appeal']",163
159,Dr. Andrew Abbott,danstone@example.net,001-511-963-8026x2165,502013811810,"['Alive Snow', 'Thin Birth', 'Separate Knowledge', 'Objective World', 'Objective Jacket']",633
160,Tommy White,jcarpenter@example.com,+1-449-899-3542x72533,36092904106023,"['Alive Branch', 'Western Application', 'Deep King', 'Known Meal', 'Loud Oil']",216
161,Elizabeth Wade,raynicholas@example.net,934.915.7659x0019,4804303584065,"['Frequent Politics', 'Such Basis', 'Worth Share', 'General Neck', 'Major Mother']",375
162,Dana Mcneil,andres10@example.org,959.918.6432,30391882159210,"['Equivalent Grocery', 'Emotional Cigarette', 'Alive Performance', 'Pretty Fortune', 'Tiny Rock']",721
163,Paul Whitehead,deanrodriguez@example.org,+1-534-540-1287x4211,4737971568202,"['Emotional Breast', 'Successful Outside', 'Large Funeral', 'Straight Incident', 'Internal Bit']",419
164,Laura Anderson,heathermclean@example.net,783.535.3970x69708,340571896498234,"['Current Control', 'Any Bit', 'Fine Silver', 'Ago Sign', 'Individual Grandfather']",680
